Col1: Sensor [V]	Col2: Absolute time (Y:M:D - H:M:S)	Col3: Absolute time (epoch) [sec]
at100->-0.028593 at101->0.995503 at102->2.042475 at103->2.975336 at104->3.994789 at105->5.010824 at106->5.967231 at107->7.014076 at108->8.011762 at109->8.980027 at110->10.031702 at111->11.002702 at112->11.996542 at113->12.962947	2020 Jul 09 - 14:48:55	001594298935.050
at100->0.02629 at101->1.026607 at102->2.045362 at103->3.029099 at104->4.032454 at105->4.999762 at106->5.983859 at107->6.951883 at108->7.973074 at109->8.985474 at110->10.048326 at111->11.020161 at112->12.038576 at113->13.028068	2020 Jul 09 - 14:48:56	001594298936.077
at100->-0.022939 at101->1.002027 at102->1.960096 at103->3.022577 at104->4.037265 at105->4.951517 at106->6.031248 at107->6.968427 at108->7.957005 at109->8.979959 at110->10.013834 at111->11.018865 at112->12.033451 at113->12.969968	2020 Jul 09 - 14:48:57	001594298937.098
at100->0.033231 at101->1.035855 at102->1.967167 at103->3.034826 at104->4.000266 at105->5.038927 at106->6.0035 at107->7.034635 at108->7.975359 at109->9.027131 at110->10.008524 at111->11.01925 at112->12.022659 at113->12.97736	2020 Jul 09 - 14:48:58	001594298938.120
at100->0.004117 at101->1.021829 at102->2.03159 at103->2.973896 at104->4.008646 at105->4.965635 at106->5.965404 at107->7.03406 at108->7.997137 at109->8.953834 at110->10.022961 at111->10.997028 at112->11.957578 at113->13.033356	2020 Jul 09 - 14:48:59	001594298939.149
at100->-0.042019 at101->1.043253 at102->2.00092 at103->3.01371 at104->4.036721 at105->4.997454 at106->6.027747 at107->6.990353 at108->7.952936 at109->9.024292 at110->10.023739 at111->11.013571 at112->11.959925 at113->12.974046	2020 Jul 09 - 14:49:00	001594298940.173
at100->-0.016347 at101->0.9623 at102->2.000832 at103->3.003865 at104->4.016279 at105->4.960814 at106->6.032776 at107->7.005926 at108->7.991114 at109->8.982106 at110->9.980689 at111->11.024122 at112->12.00129 at113->12.984549	2020 Jul 09 - 14:49:01	001594298941.189
at100->-0.009833 at101->1.013748 at102->1.966902 at103->3.031786 at104->3.957167 at105->4.998795 at106->5.95948 at107->6.980508 at108->8.009841 at109->8.95887 at110->9.961927 at111->10.972113 at112->12.033912 at113->13.01935	2020 Jul 09 - 14:49:02	001594298942.214
at100->0.039082 at101->0.999116 at102->2.011473 at103->3.014134 at104->3.964412 at105->4.961084 at106->5.95885 at107->6.997017 at108->7.969913 at109->8.997201 at110->10.028357 at111->11.026886 at112->11.961234 at113->13.024229	2020 Jul 09 - 14:49:03	001594298943.235
at100->0.031816 at101->0.968013 at102->1.972902 at103->3.011595 at104->4.04874 at105->5.022165 at106->6.0315 at107->6.995383 at108->8.047551 at109->8.986588 at110->10.013972 at111->10.996041 at112->11.987148 at113->12.989585	2020 Jul 09 - 14:49:04	001594298944.250
at100->-0.037886 at101->0.984577 at102->2.022202 at103->2.967541 at104->4.02852 at105->4.99048 at106->6.027508 at107->6.956676 at108->8.032387 at109->9.045487 at110->9.952938 at111->10.978455 at112->11.969834 at113->13.004989	2020 Jul 09 - 14:49:05	001594298945.272
at100->0.038812 at101->1.029426 at102->2.000719 at103->3.001205 at104->3.990339 at105->5.042695 at106->5.957141 at107->7.004167 at108->7.970006 at109->8.987178 at110->10.047209 at111->10.980636 at112->11.990863 at113->13.009433	2020 Jul 09 - 14:49:06	001594298946.298
at100->-0.013826 at101->0.9809 at102->1.999756 at103->2.9928 at104->4.048126 at105->5.002999 at106->5.997086 at107->6.997472 at108->8.030951 at109->9.016549 at110->9.957004 at111->10.98364 at112->11.951883 at113->12.972063	2020 Jul 09 - 14:49:07	001594298947.318
at100->0.041584 at101->0.967883 at102->2.043546 at103->2.987609 at104->4.049257 at105->4.96628 at106->6.040386 at107->6.953371 at108->7.999476 at109->8.967349 at110->9.989166 at111->10.957841 at112->11.953622 at113->13.007264	2020 Jul 09 - 14:49:08	001594298948.340
at100->-0.005678 at101->1.003185 at102->1.977687 at103->3.039249 at104->3.992239 at105->4.987828 at106->5.982403 at107->6.989808 at108->8.047594 at109->8.958433 at110->10.028206 at111->11.017354 at112->12.012996 at113->13.043031	2020 Jul 09 - 14:49:09	001594298949.366
at100->-0.031734 at101->1.039698 at102->1.952286 at103->3.026713 at104->3.951424 at105->5.001466 at106->6.006275 at107->7.035372 at108->8.0445 at109->9.017802 at110->9.954576 at111->10.971166 at112->11.981485 at113->12.999126	2020 Jul 09 - 14:49:10	001594298950.388
at100->0.021337 at101->1.014012 at102->2.039017 at103->3.036103 at104->4.048958 at105->4.973838 at106->6.042991 at107->6.96108 at108->8.018314 at109->8.953949 at110->9.986959 at111->10.9978 at112->12.030234 at113->13.003674	2020 Jul 09 - 14:49:11	001594298951.409
at100->0.023645 at101->0.964982 at102->1.986077 at103->3.0133 at104->3.971945 at105->4.98663 at106->5.99625 at107->7.037757 at108->8.017806 at109->8.971759 at110->10.029841 at111->11.007477 at112->11.969909 at113->12.965108	2020 Jul 09 - 14:49:12	001594298952.423
at100->-0.046725 at101->1.007492 at102->2.013358 at103->3.045113 at104->4.040319 at105->4.972958 at106->6.010338 at107->7.040005 at108->8.018433 at109->8.981489 at110->9.954855 at111->11.03558 at112->12.016988 at113->12.963699	2020 Jul 09 - 14:49:13	001594298953.460
at100->-0.028079 at101->1.004235 at102->2.010493 at103->3.002438 at104->4.039176 at105->4.991764 at106->5.963529 at107->7.025749 at108->8.01334 at109->9.032576 at110->10.023857 at111->10.967006 at112->12.027473 at113->12.97398	2020 Jul 09 - 14:49:14	001594298954.480
at100->0.002202 at101->1.003977 at102->2.011441 at103->2.954169 at104->4.001217 at105->4.957856 at106->5.978703 at107->6.952651 at108->8.000787 at109->8.99333 at110->9.990988 at111->10.962902 at112->12.028896 at113->12.980516	2020 Jul 09 - 14:49:15	001594298955.499
at100->-0.039861 at101->0.982152 at102->1.998267 at103->3.00457 at104->3.985559 at105->4.983607 at106->5.991036 at107->7.026988 at108->7.993702 at109->8.990394 at110->9.990356 at111->10.982684 at112->11.98619 at113->13.025553	2020 Jul 09 - 14:49:16	001594298956.520
at100->-0.042751 at101->1.03713 at102->2.002536 at103->3.001341 at104->3.969242 at105->5.030323 at106->5.966993 at107->7.02573 at108->7.957122 at109->8.967808 at110->9.959976 at111->10.967835 at112->12.048128 at113->13.015389	2020 Jul 09 - 14:49:17	001594298957.540
at100->0.018281 at101->1.042895 at102->2.005567 at103->2.974556 at104->4.048798 at105->4.964427 at106->5.953592 at107->6.968088 at108->7.968835 at109->8.962479 at110->10.036731 at111->11.02356 at112->12.024439 at113->12.970003	2020 Jul 09 - 14:49:18	001594298958.560
at100->0.036052 at101->1.001973 at102->1.990689 at103->2.955392 at104->4.033522 at105->4.952336 at106->6.008975 at107->7.005996 at108->7.955426 at109->8.996395 at110->10.014475 at111->11.012442 at112->12.026918 at113->12.954096	2020 Jul 09 - 14:49:19	001594298959.583
at100->-0.000923 at101->1.049102 at102->1.951118 at103->2.978393 at104->3.979934 at105->5.023016 at106->6.02411 at107->6.961009 at108->7.985882 at109->8.999604 at110->10.046825 at111->11.043277 at112->11.95172 at113->12.976065	2020 Jul 09 - 14:49:20	001594298960.606
at100->0.037592 at101->0.971166 at102->2.03064 at103->2.957958 at104->3.992908 at105->4.954683 at106->6.002786 at107->7.002379 at108->7.972264 at109->8.970762 at110->10.005146 at111->10.955145 at112->11.993992 at113->13.049114	2020 Jul 09 - 14:49:21	001594298961.620
at100->-0.048996 at101->0.95401 at102->1.952739 at103->2.953264 at104->4.029518 at105->4.989274 at106->5.967877 at107->6.993545 at108->7.956323 at109->9.015281 at110->9.998531 at111->10.961584 at112->12.027011 at113->12.980191	2020 Jul 09 - 14:49:22	001594298962.648
at100->0.008636 at101->1.007221 at102->1.956276 at103->2.966329 at104->3.989673 at105->4.970209 at106->5.975123 at107->7.034988 at108->8.017474 at109->9.015929 at110->10.048565 at111->10.983478 at112->11.989285 at113->12.964886	2020 Jul 09 - 14:49:23	001594298963.676
at100->0.043679 at101->0.991686 at102->2.012825 at103->2.964694 at104->3.954294 at105->5.00304 at106->6.03044 at107->7.010952 at108->8.008203 at109->9.039568 at110->10.020794 at111->10.99608 at112->11.952862 at113->13.036621	2020 Jul 09 - 14:49:24	001594298964.717
at100->0.003179 at101->0.985406 at102->2.006765 at103->3.010167 at104->3.989856 at105->4.974016 at106->6.039251 at107->6.980979 at108->7.95312 at109->9.000358 at110->9.978536 at111->11.019119 at112->12.007538 at113->13.031979	2020 Jul 09 - 14:49:25	001594298965.732
at100->-0.043412 at101->1.01104 at102->1.987922 at103->2.977739 at104->4.00169 at105->5.020097 at106->5.957584 at107->7.040171 at108->8.016472 at109->9.027691 at110->9.9591 at111->10.952457 at112->12.029679 at113->13.042492	2020 Jul 09 - 14:49:26	001594298966.763
at100->-0.031945 at101->0.954282 at102->2.013118 at103->3.03705 at104->3.956323 at105->5.016506 at106->5.953992 at107->7.040429 at108->8.045716 at109->9.0264 at110->9.985998 at111->10.962669 at112->12.045082 at113->12.964333	2020 Jul 09 - 14:49:27	001594298967.785
at100->0.011021 at101->0.990806 at102->2.001858 at103->2.970413 at104->3.992514 at105->5.017161 at106->6.046826 at107->7.031412 at108->7.983813 at109->9.020258 at110->9.968113 at111->11.014048 at112->11.960356 at113->13.038359	2020 Jul 09 - 14:49:28	001594298968.802
at100->0.032322 at101->1.024427 at102->2.009366 at103->2.995193 at104->3.994465 at105->5.049192 at106->6.002302 at107->6.958969 at108->8.042798 at109->9.030344 at110->10.003502 at111->11.03665 at112->12.033969 at113->13.004035	2020 Jul 09 - 14:49:29	001594298969.818
at100->-0.003895 at101->0.955076 at102->2.029423 at103->2.971045 at104->4.03553 at105->5.013968 at106->5.973149 at107->7.042071 at108->8.022471 at109->8.973036 at110->10.019417 at111->10.976219 at112->12.035698 at113->12.986655	2020 Jul 09 - 14:49:30	001594298970.839
at100->0.008511 at101->0.970579 at102->1.963334 at103->2.999169 at104->3.972683 at105->4.958071 at106->6.038558 at107->7.033664 at108->8.014215 at109->9.026529 at110->9.977349 at111->11.048483 at112->11.968859 at113->12.970818	2020 Jul 09 - 14:49:31	001594298971.859
at100->-0.037797 at101->1.036492 at102->2.013832 at103->2.975395 at104->4.002542 at105->5.023181 at106->5.985584 at107->6.984574 at108->8.037882 at109->9.022189 at110->9.979454 at111->10.984173 at112->11.983407 at113->13.021189	2020 Jul 09 - 14:49:32	001594298972.881
at100->0.028958 at101->1.00568 at102->1.988937 at103->3.021683 at104->3.954246 at105->4.950969 at106->6.010791 at107->6.951205 at108->8.014378 at109->8.959572 at110->10.019947 at111->10.951764 at112->11.973056 at113->12.970559	2020 Jul 09 - 14:49:33	001594298973.910
at100->-0.018049 at101->0.987778 at102->1.979453 at103->3.024062 at104->4.004997 at105->4.992098 at106->5.965574 at107->7.035894 at108->7.968862 at109->8.994113 at110->9.970443 at111->11.003033 at112->12.043717 at113->12.958732	2020 Jul 09 - 14:49:34	001594298974.931
at100->0.031414 at101->0.979137 at102->2.037253 at103->2.985085 at104->4.000018 at105->4.951434 at106->6.026193 at107->7.024358 at108->8.013381 at109->8.97672 at110->9.997341 at111->11.016401 at112->12.041768 at113->12.955284	2020 Jul 09 - 14:49:35	001594298975.963
at100->-0.037582 at101->1.0056 at102->2.035209 at103->3.028198 at104->3.955167 at105->4.998027 at106->5.991256 at107->7.043182 at108->7.99774 at109->9.040043 at110->10.002388 at111->10.972541 at112->11.980011 at113->13.031251	2020 Jul 09 - 14:49:36	001594298976.981
at100->0.028123 at101->1.012051 at102->1.98211 at103->2.953477 at104->4.033152 at105->4.98699 at106->6.024852 at107->7.028969 at108->8.002757 at109->8.965232 at110->9.987092 at111->11.02662 at112->12.044443 at113->12.984134	2020 Jul 09 - 14:49:38	001594298978.016
at100->-0.001989 at101->0.98677 at102->1.971719 at103->3.028356 at104->3.956374 at105->4.997234 at106->6.014121 at107->6.953768 at108->8.011649 at109->8.972132 at110->10.020429 at111->11.024844 at112->11.963979 at113->13.021643	2020 Jul 09 - 14:49:39	001594298979.030
at100->-0.0467 at101->0.981933 at102->1.987012 at103->3.014988 at104->4.049137 at105->5.026393 at106->5.964151 at107->7.031232 at108->8.011081 at109->9.021492 at110->10.021117 at111->10.984169 at112->11.993945 at113->12.99942	2020 Jul 09 - 14:49:40	001594298980.068
at100->0.030515 at101->0.968565 at102->2.011532 at103->3.019926 at104->4.0414 at105->5.033693 at106->6.033857 at107->7.01224 at108->7.956251 at109->8.960242 at110->9.966072 at111->10.96834 at112->11.985958 at113->12.986286	2020 Jul 09 - 14:49:41	001594298981.081
at100->-0.031479 at101->1.038774 at102->2.016024 at103->3.031852 at104->3.990549 at105->4.952106 at106->6.01055 at107->7.011208 at108->8.006798 at109->9.013164 at110->10.049151 at111->11.046031 at112->11.974594 at113->12.99742	2020 Jul 09 - 14:49:42	001594298982.108
at100->-0.047056 at101->0.951226 at102->2.000467 at103->2.951242 at104->4.024361 at105->5.047872 at106->5.973644 at107->6.994086 at108->7.959929 at109->9.037065 at110->10.017635 at111->11.045206 at112->12.004987 at113->13.000801	2020 Jul 09 - 14:49:43	001594298983.120
at100->0.019887 at101->1.009034 at102->2.04307 at103->2.975106 at104->4.046853 at105->4.957397 at106->6.015197 at107->6.978048 at108->8.004282 at109->9.030399 at110->10.003639 at111->11.048661 at112->12.024449 at113->13.035962	2020 Jul 09 - 14:49:44	001594298984.156
at100->0.029083 at101->0.969028 at102->1.959871 at103->3.010549 at104->3.980227 at105->5.017751 at106->5.982445 at107->6.953698 at108->7.961551 at109->8.955559 at110->10.014194 at111->10.969197 at112->12.039075 at113->13.048477	2020 Jul 09 - 14:49:45	001594298985.182
at100->-0.034193 at101->0.972318 at102->1.962185 at103->2.980311 at104->4.009514 at105->4.960016 at106->6.031935 at107->6.954661 at108->7.987214 at109->9.008613 at110->10.047269 at111->10.990304 at112->12.02379 at113->13.016982	2020 Jul 09 - 14:49:46	001594298986.193
at100->0.040306 at101->0.962493 at102->1.98582 at103->3.040241 at104->4.046889 at105->4.998918 at106->5.977705 at107->7.007513 at108->8.003336 at109->9.043248 at110->9.968141 at111->11.00106 at112->12.033086 at113->13.003588	2020 Jul 09 - 14:49:47	001594298987.213
at100->0.034737 at101->0.99452 at102->2.041343 at103->3.026926 at104->4.040273 at105->5.041678 at106->6.039013 at107->7.024384 at108->7.953188 at109->8.988717 at110->10.032175 at111->11.038473 at112->11.96369 at113->13.038579	2020 Jul 09 - 14:49:48	001594298988.225
at100->-0.048543 at101->0.984766 at102->1.974366 at103->2.958658 at104->4.02177 at105->4.987912 at106->6.035746 at107->6.974019 at108->7.96307 at109->9.030731 at110->9.96982 at111->10.95143 at112->12.007538 at113->12.96187	2020 Jul 09 - 14:49:49	001594298989.237
at100->-0.019016 at101->1.00455 at102->2.012231 at103->3.016796 at104->3.97164 at105->4.95845 at106->5.997629 at107->6.95482 at108->7.992928 at109->8.982579 at110->9.967431 at111->11.023142 at112->11.962092 at113->12.994516	2020 Jul 09 - 14:49:50	001594298990.263
at100->-0.04949 at101->1.046937 at102->1.987474 at103->2.989799 at104->3.952876 at105->5.029083 at106->6.002945 at107->7.049635 at108->8.027919 at109->9.033631 at110->10.004945 at111->10.971895 at112->12.031161 at113->13.021675	2020 Jul 09 - 14:49:51	001594298991.289
at100->0.009408 at101->0.982577 at102->1.976553 at103->2.9984 at104->4.000552 at105->5.017142 at106->6.028041 at107->7.033811 at108->8.010827 at109->8.990617 at110->10.048655 at111->11.031429 at112->12.026372 at113->12.968319	2020 Jul 09 - 14:49:52	001594298992.302
at100->0.006015 at101->1.04997 at102->2.044845 at103->2.979254 at104->3.979282 at105->5.014582 at106->5.9897 at107->6.952222 at108->8.041377 at109->9.042734 at110->10.036162 at111->11.008774 at112->12.022773 at113->12.952118	2020 Jul 09 - 14:49:53	001594298993.327
at100->-0.032389 at101->1.034318 at102->1.995009 at103->2.974461 at104->3.983274 at105->4.964933 at106->5.991657 at107->7.040237 at108->7.993384 at109->9.038091 at110->9.991397 at111->10.962775 at112->11.956842 at113->13.027497	2020 Jul 09 - 14:49:54	001594298994.352
at100->-0.042434 at101->1.048642 at102->1.994946 at103->2.998262 at104->3.950307 at105->5.046835 at106->6.042244 at107->6.989747 at108->7.973611 at109->9.004878 at110->10.026709 at111->10.958546 at112->12.007029 at113->12.999215	2020 Jul 09 - 14:49:55	001594298995.384
at100->0.043759 at101->1.017448 at102->1.973069 at103->3.012768 at104->4.013673 at105->4.982235 at106->6.010886 at107->6.953456 at108->7.981741 at109->9.00079 at110->10.044944 at111->10.998118 at112->12.031079 at113->13.001317	2020 Jul 09 - 14:49:56	001594298996.413
at100->0.012371 at101->0.998373 at102->2.01174 at103->3.008115 at104->4.027207 at105->5.008048 at106->6.005267 at107->7.040377 at108->7.957553 at109->9.018698 at110->9.966752 at111->10.951459 at112->11.981053 at113->13.006714	2020 Jul 09 - 14:49:57	001594298997.428
at100->-0.013817 at101->1.04706 at102->1.986354 at103->2.997388 at104->3.959937 at105->4.954471 at106->5.957702 at107->6.997051 at108->8.028656 at109->8.97512 at110->10.038329 at111->10.95872 at112->12.02077 at113->12.952736	2020 Jul 09 - 14:49:58	001594298998.450
at100->0.030559 at101->1.03595 at102->1.990081 at103->2.951047 at104->3.957932 at105->4.957045 at106->6.005681 at107->6.994474 at108->8.026842 at109->9.001017 at110->10.047317 at111->10.963346 at112->11.950067 at113->12.956359	2020 Jul 09 - 14:49:59	001594298999.466
at100->-0.003725 at101->0.996685 at102->1.95661 at103->3.03042 at104->3.960743 at105->4.971771 at106->5.984766 at107->7.005913 at108->7.987042 at109->9.035535 at110->10.004424 at111->10.976089 at112->12.009607 at113->13.024449	2020 Jul 09 - 14:50:00	001594299000.489
at100->0.041493 at101->0.95182 at102->1.982263 at103->2.97888 at104->3.991201 at105->4.970796 at106->6.010319 at107->6.958589 at108->8.039818 at109->8.983245 at110->10.045077 at111->10.981909 at112->12.038643 at113->12.982768	2020 Jul 09 - 14:50:01	001594299001.504
at100->0.049357 at101->1.018618 at102->2.025634 at103->2.998588 at104->3.963118 at105->5.047406 at106->6.011897 at107->7.025459 at108->7.969175 at109->8.982731 at110->9.967456 at111->10.997993 at112->12.031307 at113->12.952848	2020 Jul 09 - 14:50:02	001594299002.526
at100->-0.045321 at101->0.984932 at102->1.951981 at103->3.032768 at104->4.029305 at105->5.030636 at106->5.97946 at107->7.032932 at108->7.999618 at109->8.999507 at110->10.017081 at111->10.996012 at112->12.012468 at113->12.952152	2020 Jul 09 - 14:50:03	001594299003.548
at100->-0.000441 at101->1.028704 at102->1.991027 at103->2.955197 at104->4.042961 at105->4.990421 at106->6.042338 at107->7.003185 at108->8.030757 at109->9.02623 at110->10.020193 at111->11.024726 at112->12.017441 at113->12.986719	2020 Jul 09 - 14:50:04	001594299004.748
at100->-0.023654 at101->1.037236 at102->1.976843 at103->3.032527 at104->3.989873 at105->4.996091 at106->6.00935 at107->6.971914 at108->7.968886 at109->9.010791 at110->9.971441 at111->10.997518 at112->11.989317 at113->12.993245	2020 Jul 09 - 14:50:05	001594299005.782
at100->0.000803 at101->0.951965 at102->2.013676 at103->2.985021 at104->4.006801 at105->5.045196 at106->6.002166 at107->6.954688 at108->7.974416 at109->9.044605 at110->10.023771 at111->11.007144 at112->11.951825 at113->13.009293	2020 Jul 09 - 14:50:06	001594299006.802
at100->-0.03756 at101->0.95992 at102->2.040046 at103->2.966251 at104->4.010559 at105->4.96698 at106->6.013034 at107->6.997337 at108->7.991101 at109->9.045316 at110->9.987146 at111->10.95381 at112->12.049786 at113->12.950018	2020 Jul 09 - 14:50:07	001594299007.816
at100->-0.037941 at101->1.048796 at102->2.038633 at103->2.96716 at104->4.025022 at105->4.962533 at106->5.972774 at107->6.985525 at108->7.990723 at109->9.004242 at110->10.005092 at111->10.952537 at112->11.960825 at113->13.029259	2020 Jul 09 - 14:50:08	001594299008.845
at100->-0.027671 at101->0.968328 at102->2.007143 at103->2.973033 at104->4.035851 at105->4.956875 at106->6.006954 at107->7.005128 at108->8.048676 at109->9.002145 at110->10.008569 at111->10.989297 at112->11.989446 at113->12.951188	2020 Jul 09 - 14:50:09	001594299009.868
at100->-0.015515 at101->0.975974 at102->2.028105 at103->2.987264 at104->3.958557 at105->5.037695 at106->5.981664 at107->6.963295 at108->7.970841 at109->8.978474 at110->10.005653 at111->11.027965 at112->12.035416 at113->12.994707	2020 Jul 09 - 14:50:10	001594299010.890
at100->0.036287 at101->0.990855 at102->2.022262 at103->3.045652 at104->3.993404 at105->5.026669 at106->6.007302 at107->6.971681 at108->8.025692 at109->9.011913 at110->9.956593 at111->11.024899 at112->12.032515 at113->12.953282	2020 Jul 09 - 14:50:11	001594299011.929
at100->-0.03905 at101->1.028981 at102->2.017268 at103->3.008369 at104->3.958628 at105->4.95077 at106->5.969087 at107->7.010374 at108->8.010576 at109->8.976896 at110->9.982962 at111->10.985669 at112->12.005135 at113->12.962701	2020 Jul 09 - 14:50:12	001594299012.949
at100->-0.037055 at101->1.041823 at102->1.980191 at103->2.980346 at104->4.042727 at105->4.95261 at106->5.950045 at107->6.953208 at108->8.008945 at109->8.986948 at110->9.99478 at111->11.0219 at112->12.014639 at113->13.007975	2020 Jul 09 - 14:50:13	001594299013.962
at100->0.043701 at101->0.9941 at102->2.025954 at103->3.016627 at104->4.024192 at105->5.032344 at106->5.971456 at107->6.951668 at108->8.008385 at109->8.977373 at110->10.02442 at111->10.999081 at112->11.967983 at113->13.013861	2020 Jul 09 - 14:50:14	001594299014.989
at100->0.046895 at101->1.044224 at102->2.0193 at103->2.973864 at104->4.027384 at105->4.953279 at106->6.042867 at107->6.98256 at108->7.980709 at109->8.987694 at110->9.992265 at111->10.980178 at112->11.972057 at113->13.045761	2020 Jul 09 - 14:50:16	001594299016.025
at100->0.026891 at101->0.974381 at102->2.008593 at103->3.023033 at104->4.003206 at105->4.984793 at106->5.96976 at107->6.982908 at108->8.040446 at109->8.987301 at110->10.031517 at111->10.981279 at112->11.952256 at113->13.018179	2020 Jul 09 - 14:50:17	001594299017.061
at100->0.00613 at101->0.959772 at102->2.042572 at103->2.990307 at104->4.04686 at105->4.96535 at106->5.998719 at107->6.994107 at108->8.049856 at109->8.954577 at110->9.990824 at111->10.991972 at112->11.971965 at113->13.012482	2020 Jul 09 - 14:50:18	001594299018.083
at100->0.040104 at101->0.972386 at102->2.029265 at103->2.98317 at104->4.041619 at105->4.972219 at106->5.953786 at107->6.966261 at108->8.015257 at109->9.040424 at110->9.989792 at111->11.024034 at112->12.02634 at113->12.998294	2020 Jul 09 - 14:50:19	001594299019.102
at100->0.007379 at101->1.011674 at102->1.955757 at103->3.047867 at104->3.980764 at105->4.958663 at106->6.032301 at107->6.990134 at108->8.039166 at109->9.008296 at110->9.990311 at111->11.032546 at112->11.977474 at113->13.041235	2020 Jul 09 - 14:50:20	001594299020.131
at100->0.030691 at101->1.008597 at102->1.963746 at103->2.999824 at104->3.974352 at105->4.96048 at106->6.046857 at107->7.002442 at108->7.982216 at109->9.030079 at110->9.956296 at111->10.989572 at112->11.973286 at113->12.992787	2020 Jul 09 - 14:50:21	001594299021.156
at100->-0.047493 at101->0.966051 at102->2.020068 at103->3.028995 at104->4.013611 at105->4.977884 at106->6.007882 at107->6.955733 at108->8.005342 at109->8.958156 at110->9.977067 at111->11.005327 at112->12.048319 at113->12.95422	2020 Jul 09 - 14:50:22	001594299022.173
at100->-0.013384 at101->0.982177 at102->1.987272 at103->2.992261 at104->3.971851 at105->5.015048 at106->6.047125 at107->7.005402 at108->7.984065 at109->9.026328 at110->9.961496 at111->10.952774 at112->11.954549 at113->13.047913	2020 Jul 09 - 14:50:23	001594299023.198
at100->0.029533 at101->1.033796 at102->2.011146 at103->3.039519 at104->3.963269 at105->4.974579 at106->6.021737 at107->6.999016 at108->7.959948 at109->9.010035 at110->10.048657 at111->11.02707 at112->12.048603 at113->13.028288	2020 Jul 09 - 14:50:24	001594299024.225
at100->0.043798 at101->1.04999 at102->2.01685 at103->2.984076 at104->4.002411 at105->5.009312 at106->5.968243 at107->6.950298 at108->8.028676 at109->8.976888 at110->10.048585 at111->10.988787 at112->11.961112 at113->13.023875	2020 Jul 09 - 14:50:25	001594299025.270
at100->0.047756 at101->1.003613 at102->2.017603 at103->2.954096 at104->4.034389 at105->4.983684 at106->5.962354 at107->7.030542 at108->7.972008 at109->9.001763 at110->9.965864 at111->11.032909 at112->11.985317 at113->13.027842	2020 Jul 09 - 14:50:26	001594299026.296
at100->-0.010267 at101->1.006932 at102->2.006245 at103->2.983844 at104->3.970235 at105->5.012461 at106->6.040215 at107->7.028385 at108->7.990799 at109->9.044872 at110->9.96408 at111->10.950063 at112->11.958775 at113->12.959861	2020 Jul 09 - 14:50:27	001594299027.309
at100->0.042102 at101->0.969185 at102->1.951684 at103->2.973766 at104->3.951506 at105->4.983392 at106->6.032672 at107->6.970865 at108->8.0498 at109->9.044867 at110->10.04164 at111->11.031338 at112->11.990693 at113->13.011932	2020 Jul 09 - 14:50:28	001594299028.327
at100->0.005823 at101->0.958148 at102->1.996037 at103->3.032436 at104->3.957225 at105->4.986359 at106->6.029525 at107->6.982619 at108->7.976658 at109->9.023233 at110->10.010701 at111->10.961097 at112->12.024762 at113->12.959209	2020 Jul 09 - 14:50:29	001594299029.366
at100->0.014768 at101->0.999567 at102->1.956602 at103->3.016108 at104->3.984315 at105->4.999102 at106->6.046474 at107->6.971167 at108->8.039236 at109->8.993664 at110->9.999071 at111->10.971604 at112->11.989388 at113->13.022554	2020 Jul 09 - 14:50:30	001594299030.390
at100->-0.03734 at101->1.020148 at102->1.960576 at103->2.979571 at104->4.044517 at105->4.951862 at106->5.959062 at107->6.992116 at108->8.014632 at109->8.953222 at110->10.007926 at111->10.984357 at112->11.980932 at113->12.990649	2020 Jul 09 - 14:50:31	001594299031.416
at100->0.015283 at101->0.988856 at102->2.016115 at103->2.969548 at104->4.030701 at105->5.032365 at106->5.956153 at107->6.997696 at108->8.036575 at109->8.969255 at110->10.038204 at111->11.002339 at112->11.952933 at113->12.955468	2020 Jul 09 - 14:50:32	001594299032.437
at100->-0.014734 at101->0.998918 at102->1.988945 at103->3.032245 at104->3.965029 at105->5.044562 at106->6.004186 at107->6.985381 at108->7.95639 at109->8.984852 at110->10.013213 at111->11.040364 at112->11.987885 at113->13.018971	2020 Jul 09 - 14:50:33	001594299033.463
at100->0.033403 at101->0.982001 at102->1.98151 at103->3.033166 at104->3.966889 at105->5.003823 at106->5.963699 at107->6.994317 at108->7.995429 at109->8.963805 at110->9.964224 at111->10.987037 at112->11.997857 at113->13.014386	2020 Jul 09 - 14:50:34	001594299034.482
at100->-0.033288 at101->0.959266 at102->1.97303 at103->2.961279 at104->4.026246 at105->5.017846 at106->6.007784 at107->7.037623 at108->7.972185 at109->8.979242 at110->9.965946 at111->10.965408 at112->11.987073 at113->13.0308	2020 Jul 09 - 14:50:35	001594299035.495
at100->-0.007267 at101->1.029447 at102->1.956276 at103->2.989435 at104->3.973128 at105->4.978032 at106->6.02515 at107->6.951837 at108->7.994121 at109->8.998392 at110->9.986015 at111->10.978887 at112->12.007552 at113->12.982156	2020 Jul 09 - 14:50:36	001594299036.535
at100->-0.030892 at101->1.044035 at102->2.027387 at103->2.979811 at104->4.002821 at105->4.994822 at106->6.020625 at107->6.965498 at108->8.00064 at109->9.020544 at110->9.986582 at111->11.011828 at112->11.988988 at113->13.028967	2020 Jul 09 - 14:50:37	001594299037.551
at100->-0.031957 at101->0.96004 at102->2.019737 at103->3.02971 at104->4.038675 at105->5.029757 at106->6.030962 at107->7.030725 at108->8.021386 at109->9.023248 at110->10.006117 at111->11.001297 at112->11.953004 at113->12.961346	2020 Jul 09 - 14:50:38	001594299038.576
